title,genre,release_date,country,url,poster_url,Siêu anh hùng,Tôn Giáo,Lãng mạn,Ma,Chiến tranh,Phiêu lưu,Trinh thám,Tình cảm,Kinh dị,Giả tưởng,Tội phạm,Tâm Linh,Hành động,Đẹp Trai,Cổ Trang,Chính kịch,Truyền hình thực tế,Hoạt hình,Bí ẩn,Gay cấn,Gia đình,Khoa học - Viễn tưởng,Hài,Hình sự,Thảm hoạ,Thể thao,Giật gân,Lịch sử,Âm Nhạc,Drama,Tài liệu,Tâm lý
Aquaman: Vương Quốc Thất Lạc,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",22/12/2023,Mỹ,https://www.momo.vn/cinema/aquaman-and-the-lost-kingdom-23640/review,https://cinema.momocdn.net/img/25268918191652133-poster.jpg,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ma Không Đầu,"Kinh dị, Hài",24/06/2025,,https://www.momo.vn/cinema/tim-xac-ma-khong-dau-24281/review,https://cinema.momocdn.net/img/45523730113337120-makhongdau.png?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cưới Ma Giải Hạn,"Bí ẩn, Kinh dị, Hình sự, Giả tưởng, Hài, Hành động",11/04/2025,,https://www.momo.vn/cinema/the-red-envelope-24273/review,https://cinema.momocdn.net/img/80095524311539189-cuoima.png?size=M,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Venom: Kèo Cuối,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",25/10/2024,Mỹ,https://www.momo.vn/cinema/venom-the-last-dance-24041/review,https://cinema.momocdn.net/img/50202423422837044-VENOM-compressed.jpg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hoàng Tử Quỷ,"Kinh dị, Cổ Trang",05/12/2025,,https://www.momo.vn/cinema/the-demon-prince-24617/review,https://cinema.momocdn.net/img/51577021726826749-htq222.png?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cục Vàng Của Ngoại,"Chính kịch, Gia đình, Tâm lý",17/10/2025,,https://www.momo.vn/cinema/cuc-vang-cua-ngoai-24527/review,https://cinema.momocdn.net/img/88064256413412337-cucvang.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Kẻ Trộm Mặt Trăng 4,"Gia đình, Phiêu lưu, Hài, Hoạt hình",05/07/2024,Mỹ,https://www.momo.vn/cinema/despicable-me-4-23843/review,https://cinema.momocdn.net/img/100994932101251203-dm4.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Yadang: Ba Mặt Lật Kèo,Hình sự,16/05/2025,,https://www.momo.vn/cinema/yadang-the-snitch-24308/review,https://cinema.momocdn.net/img/123026536546288028-yadang.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tee Yod: Quỷ Ăn Tạng,"Gay cấn, Kinh dị, Giật gân",29/12/2023,Thái Lan,https://www.momo.vn/cinema/death-whisperer-23714/review,https://cinema.momocdn.net/img/28895535342546753-TY_300x400.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hẹn Em Ngày Nhật Thực,Lãng mạn,30/03/2026,,https://www.momo.vn/cinema/hen-em-ngay-nhat-thuc-24842/review,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phí Phông: Quỷ Máu Rừng Thiêng,Kinh dị,20/04/2026,,https://www.momo.vn/cinema/phi-phong-quy-mau-rung-thieng-24843/review,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Song Hỷ Lâm Nguy,"Gia đình, Tâm lý, Hài",03/04/2026,,https://www.momo.vn/cinema/song-hy-lam-nguy-24869/review,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Dưới Bóng Điện Hạ,"Chính kịch, Lịch sử",10/04/2026,,https://www.momo.vn/cinema/the-kings-warden-24875/review,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thoát Khỏi Tận Thế,"Bí ẩn, Phiêu lưu, Khoa học - Viễn tưởng",20/03/2026,,https://www.momo.vn/cinema/project-hail-mary-24648/review,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Một Bộ Phim Của Lee Cronin: Xác Ướp,"Bí ẩn, Kinh dị",17/04/2026,,https://www.momo.vn/cinema/lee-cronins-the-mummy-24884/review,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Phim Super Mario Thiên Hà,"Gia đình, Phiêu lưu, Giả tưởng, Hài, Hoạt hình",01/04/2026,,https://www.momo.vn/cinema/the-super-mario-galaxy-movie-24802/review,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bẫy Tiền,Tâm lý,10/04/2026,,https://www.momo.vn/cinema/bay-tien-24640/review,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Trò Chơi Của Quỷ 2,"Kinh dị, Hài, Hành động",10/04/2026,,https://www.momo.vn/cinema/ready-or-not-here-i-come-24876/review,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Takhon: Quỷ Đội Lốt Người,"Gay cấn, Kinh dị",10/04/2026,,https://www.momo.vn/cinema/takhon-24877/review,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vùng Đất Luân Hồi,"Chính kịch, Giả tưởng, Hoạt hình",27/03/2026,,https://www.momo.vn/cinema/another-world-24857/review,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quỷ Dữ Từ Luyện Ngục,"Chính kịch, Hình sự, Kinh dị",10/04/2026,,https://www.momo.vn/cinema/king-keaw-24879/review,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bẫy Hồi Sinh (chiếu lại),"Bí ẩn, Gay cấn, Kinh dị",22/08/2025,,https://www.momo.vn/cinema/the-ghost-game-24525/review,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dịch Vụ Giao Hàng của Phù Thủy Kiki,"Chính kịch, Gia đình, Giả tưởng, Hoạt hình",10/04/2026,,https://www.momo.vn/cinema/kiki-delivery-24874/review,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cô Bé Coraline,"Gia đình, Giả tưởng, Hoạt hình",27/03/2026,,https://www.momo.vn/cinema/coraline-24865/review,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
